epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1531.27,1.54812,1.503,1.091,0.52314,0.26026,0.25833,0.13799,1.45961,1.07737,0.99575,0.00333257,0.00333257,0.00333257
2,2973.01,1.48566,1.1265,1.03559,0.50062,0.30375,0.29509,0.15836,1.40888,0.95134,0.9907,0.00659991,0.00659991,0.00659991
3,4430.61,1.49559,1.07115,1.04155,0.43174,0.29591,0.30633,0.1616,1.39793,0.9127,0.99733,0.00980125,0.00980125,0.00980125
4,5913.77,1.47835,1.02289,1.03786,0.49577,0.30824,0.32745,0.175,1.36642,0.86293,0.98305,0.009703,0.009703,0.009703
5,7324.98,1.44227,0.97301,1.02432,0.4596,0.33933,0.34754,0.187,1.34904,0.83589,0.97746,0.009604,0.009604,0.009604
6,8817.77,1.4212,0.94655,1.01707,0.47278,0.35151,0.36095,0.19587,1.3335,0.81671,0.97121,0.009505,0.009505,0.009505
7,10226.9,1.40646,0.92765,1.01062,0.49022,0.35572,0.37335,0.20331,1.32424,0.80379,0.96737,0.009406,0.009406,0.009406
8,11644.8,1.39708,0.91601,1.00733,0.50758,0.35343,0.37815,0.20712,1.31744,0.79369,0.96459,0.009307,0.009307,0.009307
9,13627,1.38849,0.90587,1.00454,0.60742,0.36081,0.38393,0.21123,1.3131,0.78688,0.96366,0.009208,0.009208,0.009208
10,15824.3,1.38325,0.89738,1.00213,0.61561,0.36195,0.38657,0.21335,1.3086,0.78118,0.96137,0.009109,0.009109,0.009109
11,18016,1.37799,0.89269,1.00008,0.62649,0.36067,0.39131,0.21616,1.30517,0.77678,0.95985,0.00901,0.00901,0.00901
12,20187.7,1.37316,0.88622,0.99801,0.62927,0.36691,0.39623,0.21875,1.30258,0.77353,0.95866,0.008911,0.008911,0.008911
