epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.91,0.98583,1.73598,1.21609,0.78352,0.66746,0.75194,0.52948,1.01279,0.98472,1.15871,0.00331804,0.00331804,0.00331804
2,1015.5,1.03351,1.17431,1.23364,0.65768,0.56506,0.61843,0.41872,1.13645,1.3,1.28069,0.00658553,0.00658553,0.00658553
3,1477.49,1.17835,1.46207,1.3481,0.16032,0.12228,0.07434,0.03479,1.99453,3.38544,2.30812,0.00978701,0.00978701,0.00978701
4,1955.75,1.36893,1.8636,1.49883,0.31255,0.24961,0.19249,0.1035,1.62119,2.8302,1.82368,0.009703,0.009703,0.009703
5,2506.28,1.36275,1.83322,1.49532,0.43062,0.35792,0.34378,0.1919,1.58007,2.10168,1.73057,0.009604,0.009604,0.009604
6,3775.97,1.31938,1.75706,1.46913,0.56298,0.3803,0.41436,0.24799,1.45734,1.83227,1.56768,0.009505,0.009505,0.009505
7,4231.16,1.2936,1.67028,1.45168,0.56247,0.4339,0.45642,0.28098,1.36402,1.74428,1.49536,0.009406,0.009406,0.009406
8,4579.56,1.27313,1.62121,1.43158,0.57282,0.47076,0.50287,0.31961,1.3293,1.64235,1.47247,0.009307,0.009307,0.009307
9,5073.7,1.24889,1.56698,1.41394,0.61148,0.49465,0.53535,0.3368,1.30015,1.50396,1.44901,0.009208,0.009208,0.009208
10,5506.35,1.22106,1.49482,1.3922,0.56201,0.50477,0.52228,0.32951,1.32516,1.55386,1.45439,0.009109,0.009109,0.009109
11,5967.92,1.20872,1.48189,1.38594,0.64507,0.48969,0.55204,0.35357,1.28692,1.483,1.43259,0.00901,0.00901,0.00901
12,6431.5,1.19375,1.44109,1.37817,0.62311,0.50509,0.55068,0.35698,1.23487,1.43507,1.38839,0.008911,0.008911,0.008911
13,6894.35,1.17709,1.39173,1.35879,0.66773,0.5174,0.57808,0.37814,1.23547,1.44097,1.39063,0.008812,0.008812,0.008812
14,7251.84,1.16103,1.36064,1.34829,0.63812,0.54919,0.59304,0.38876,1.22049,1.33531,1.38111,0.008713,0.008713,0.008713
15,7747.34,1.15092,1.32928,1.33713,0.65794,0.55927,0.62157,0.41387,1.20607,1.30092,1.35423,0.008614,0.008614,0.008614
16,8117.68,1.13357,1.31444,1.32941,0.67511,0.58273,0.63774,0.43585,1.16989,1.25991,1.33347,0.008515,0.008515,0.008515
17,8583.95,1.10949,1.27205,1.31485,0.68743,0.58129,0.6479,0.43203,1.19861,1.2375,1.35885,0.008416,0.008416,0.008416
18,9028.35,1.11641,1.25743,1.31772,0.70164,0.58665,0.65635,0.44325,1.1748,1.2107,1.33534,0.008317,0.008317,0.008317
