epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10379,1.2656,0.75305,0.97697,0.72438,0.48778,0.5394,0.30814,1.24163,0.68128,0.95341,0.00643101,0.00643101,0.00643101
43,11384.6,1.26168,0.7514,0.97596,0.72284,0.48804,0.53965,0.30835,1.24141,0.68081,0.95324,0.00628101,0.00628101,0.00628101
44,12387.1,1.26273,0.75084,0.97601,0.72154,0.48821,0.54014,0.3091,1.24099,0.68018,0.95305,0.00612981,0.00612981,0.00612981
45,13389.5,1.26073,0.7486,0.97513,0.72682,0.48739,0.54117,0.30971,1.24077,0.67965,0.95294,0.00597754,0.00597754,0.00597754
46,14393.3,1.25958,0.74705,0.97539,0.72512,0.48993,0.54185,0.3098,1.24042,0.67915,0.95277,0.00582435,0.00582435,0.00582435
47,15396.4,1.25642,0.74366,0.97401,0.72857,0.48843,0.54194,0.30987,1.24015,0.67867,0.95263,0.0056704,0.0056704,0.0056704
48,16399.2,1.25764,0.74213,0.97358,0.72749,0.48819,0.54268,0.31061,1.23982,0.67794,0.95245,0.00551584,0.00551584,0.00551584
49,17402.6,1.25601,0.74181,0.97305,0.72642,0.48981,0.5425,0.31083,1.23943,0.67738,0.95216,0.00536081,0.00536081,0.00536081
50,18406.3,1.25295,0.73885,0.97211,0.72471,0.49107,0.543,0.31106,1.2391,0.6769,0.95187,0.00520548,0.00520548,0.00520548
51,19408.9,1.25161,0.73683,0.97123,0.72537,0.49165,0.54418,0.31137,1.23879,0.67631,0.95166,0.00505,0.00505,0.00505
52,20412.4,1.25009,0.73579,0.9717,0.7287,0.48786,0.54455,0.31172,1.23842,0.67595,0.95154,0.00489452,0.00489452,0.00489452
53,21415.2,1.24761,0.7329,0.97052,0.72519,0.48903,0.54423,0.31157,1.23805,0.67535,0.95135,0.00473919,0.00473919,0.00473919
54,22418.5,1.24806,0.73214,0.96941,0.72842,0.48698,0.54451,0.31194,1.23756,0.6747,0.951,0.00458416,0.00458416,0.00458416
55,23421.4,1.24563,0.72952,0.96907,0.73167,0.48619,0.54583,0.31285,1.23711,0.67411,0.95075,0.0044296,0.0044296,0.0044296
