epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4655.31,0.95097,0.89223,1.18996,0.81039,0.66611,0.75196,0.54333,1.029,0.93526,1.21641,0.005842,0.005842,0.005842
44,4754.89,0.93699,0.88296,1.17972,0.78908,0.6844,0.75962,0.55314,1.01904,0.90039,1.20601,0.005743,0.005743,0.005743
45,4854.44,0.93377,0.87355,1.17833,0.80453,0.68135,0.76618,0.55629,1.02244,0.89967,1.21277,0.005644,0.005644,0.005644
46,4954.48,0.92839,0.86768,1.1752,0.81303,0.68375,0.76986,0.56038,1.01555,0.89049,1.20583,0.005545,0.005545,0.005545
47,5054.27,0.92699,0.85554,1.17179,0.82604,0.66534,0.76359,0.55535,1.01463,0.90024,1.20989,0.005446,0.005446,0.005446
48,5154.02,0.924,0.85772,1.16908,0.80936,0.68545,0.76497,0.56021,1.01727,0.89556,1.20072,0.005347,0.005347,0.005347
49,5253.8,0.91469,0.83883,1.16409,0.79914,0.6952,0.76736,0.56398,1.00885,0.8766,1.20252,0.005248,0.005248,0.005248
50,5353.74,0.91132,0.83362,1.15754,0.78592,0.70218,0.76946,0.56785,1.00479,0.88155,1.19444,0.005149,0.005149,0.005149
51,5453.66,0.9071,0.82449,1.15869,0.81286,0.68812,0.77138,0.56965,1.00181,0.86223,1.19004,0.00505,0.00505,0.00505
52,5553.51,0.90634,0.81544,1.15347,0.81923,0.69006,0.77209,0.56944,1.00265,0.8607,1.19691,0.004951,0.004951,0.004951
53,5653.48,0.89615,0.79968,1.15028,0.78764,0.70279,0.77488,0.57481,0.99885,0.86742,1.19772,0.004852,0.004852,0.004852
54,5753.42,0.88687,0.78701,1.14191,0.8073,0.69848,0.77429,0.57173,1.00231,0.86268,1.19444,0.004753,0.004753,0.004753
55,5853.52,0.89254,0.78901,1.14892,0.79304,0.71215,0.77795,0.57212,1.01365,0.86604,1.20154,0.004654,0.004654,0.004654
56,5952.89,0.88104,0.78483,1.14115,0.815,0.6986,0.77952,0.57445,1.00711,0.85641,1.20172,0.004555,0.004555,0.004555
57,6052.96,0.87467,0.76757,1.13788,0.81898,0.69038,0.77603,0.57631,0.99538,0.85393,1.19458,0.004456,0.004456,0.004456
58,6152.85,0.87425,0.7602,1.13391,0.81016,0.699,0.77854,0.57734,0.99976,0.85254,1.19975,0.004357,0.004357,0.004357
59,6252.55,0.86585,0.7485,1.13322,0.80888,0.70532,0.7767,0.57626,0.99666,0.8502,1.19681,0.004258,0.004258,0.004258
60,6352.26,0.85701,0.74532,1.12078,0.81178,0.69779,0.77613,0.57646,1.00017,0.85083,1.19835,0.004159,0.004159,0.004159
61,6452.45,0.85658,0.73846,1.12407,0.82204,0.68766,0.7761,0.57378,1.00533,0.85727,1.19982,0.00406,0.00406,0.00406
62,6552.28,0.85496,0.72982,1.12144,0.80389,0.71288,0.77851,0.57951,1.00151,0.84617,1.1965,0.003961,0.003961,0.003961
63,6652.01,0.84642,0.72524,1.11978,0.81372,0.69786,0.78163,0.5817,0.99893,0.85046,1.19828,0.003862,0.003862,0.003862
64,6752.21,0.8481,0.71644,1.11471,0.80257,0.70766,0.78036,0.5806,0.997,0.84431,1.19209,0.003763,0.003763,0.003763
